business,owner,phoneNumber,license
PLUMBING EXPRESS INC,JOHN KILDARE,253-826-4621,"{""effective"":""09/20/2002"",""expiration"":""09/20/2022""}"
PLUMBING EXPERTS NW LLC,ROBERT THOMAS SR,425-948-7705,"{""effective"":""08/08/2018"",""expiration"":""08/08/2022""}"
"PLUMBING GUYS INC, THE",BRIAN HOBBS,360-293-1878,"{""effective"":""08/10/2004"",""expiration"":""08/10/2022""}"
PLUMBING ENTERPRISES,ELLEN KELLY,916-985-4102,"{""effective"":""03/09/2011"",""expiration"":""03/10/2023""}"
PLUMBING CONCEPTS INC,JESSE ZAMUDIO,503-658-5232,"{""effective"":""07/06/2001"",""expiration"":""12/12/2021""}"
"PLUMBING & DRAIN CO INC, THE",BRIAN HARDING,253-987-7980,"{""effective"":""07/15/2020"",""expiration"":""07/15/2022""}"
PLUMBING BY MARIO,MARIO BROCKL,206-283-6167,"{""effective"":""11/16/1994"",""expiration"":""11/27/2022""}"
PLUMBING & HEATING SPEC LLC,DARRELL RHYNER,253-370-7620,"{""effective"":""05/03/2012"",""expiration"":""07/24/2022""}"
PLUMBING SYSTEMS SOLUTIONS INC,ANNETTE BASTIAN,360-225-8586,"{""effective"":""06/04/2010"",""expiration"":""06/04/2022""}"
PLUMBING WORKS INC,CHERYL REESER,425-882-2901,"{""effective"":""01/24/2000"",""expiration"":""02/26/2023""}"
